date,dispersion,mean_ratio,range,regime,level_regime
2024-12-18,0.08094175192628413,0.19323015011744094,0.2296428665586704,normal,low
2024-12-19,0.07858565604555251,0.17025277844230866,0.22821017789796327,normal,low
2024-12-20,0.07490175598165486,0.15296831985404943,0.21764912372348266,normal,low
2024-12-23,0.0934631309815346,0.15737419567033378,0.1869262619630692,normal,low
2024-12-24,0.06739532208311186,0.14746324025253638,0.179570293839315,normal,low
2024-12-26,0.07085186473454469,0.13375835713638126,0.23201258397210628,normal,low
2024-12-27,0.06889718498641191,0.12197388845898835,0.23306912371761618,normal,low
2024-12-30,0.06431364565579141,0.11071691022405193,0.2206939515413077,normal,low
2024-12-31,0.05872251205462817,0.09873974314348101,0.20417305247803574,converged,low
2025-01-02,0.048974190475275424,0.0948791974136867,0.13510768699639927,converged,low
2025-01-03,0.053834511814704666,0.0905131182565211,0.19505444313575032,converged,low
2025-01-06,0.05216410640980324,0.08884718212150404,0.17745311698244864,converged,low
2025-01-07,0.04918692970452241,0.08686372243541714,0.16683355965335914,converged,low
2025-01-08,0.04853940999038574,0.08967718876954826,0.1668752463971329,converged,low
2025-01-10,0.047437187936418254,0.0902411411241398,0.16111883816635686,converged,low
2025-01-13,0.0474843069433871,0.09027834632250918,0.15494623108781225,converged,low
2025-01-14,0.04865514579752419,0.09041804736577058,0.17731899091501602,converged,low
2025-01-15,0.05171809982531244,0.09751123814356322,0.20083332620313196,converged,low
2025-01-16,0.055940464917701785,0.10812896812328225,0.22581407483206267,converged,low
2025-01-17,0.060338575699540715,0.11915997874277492,0.2469454402884353,normal,low
2025-01-21,0.06335180233182858,0.1339640005807019,0.2632873892918687,normal,low
2025-01-22,0.06531239915151119,0.15322392727408768,0.27292039715266375,normal,low
2025-01-23,0.06906416903823194,0.1789606124628492,0.20272752766418983,normal,low
2025-01-24,0.06808209280022764,0.18507480358142495,0.29446990669099443,normal,low
2025-01-27,0.06332417467445176,0.20230052005719326,0.2666005375712301,normal,mid
2025-01-28,0.06256599635202112,0.21909752434169694,0.24613034124900657,normal,mid
2025-01-29,0.06389980599058337,0.23403282619515006,0.22918564833752006,normal,mid
2025-01-30,0.0641428074402828,0.25094781873806826,0.23868920579974806,normal,mid
2025-01-31,0.06604658553025688,0.2625586374269713,0.249401091101625,normal,mid
2025-02-03,0.0682450269378427,0.2691262819217231,0.24916041469087735,normal,mid
2025-02-04,0.07209918828363739,0.2743630439090249,0.2466081429186359,normal,mid
2025-02-05,0.07494243488275382,0.273956059959712,0.23965922956363267,normal,mid
2025-02-06,0.07852755072218459,0.27153096580559505,0.2348350559883545,normal,mid
2025-02-07,0.08318160731364614,0.2670108616093487,0.24883432346333895,diverged,mid
2025-02-10,0.08327911269914448,0.2651090120831508,0.24095474583423077,diverged,mid
2025-02-11,0.08218178288631892,0.2637281973115731,0.24667650397755753,diverged,mid
2025-02-12,0.08206091837577877,0.2606918600920473,0.25895306485854264,diverged,mid
2025-02-13,0.08267682650187727,0.2551458680490557,0.269313149155312,diverged,mid
2025-02-14,0.08306252213572242,0.2507700903024097,0.27559598987780787,diverged,mid
2025-02-18,0.08459710280682324,0.2509244227050457,0.2824271649912123,diverged,mid
2025-02-19,0.08513782616968883,0.24714698798844514,0.2921920332334862,diverged,mid
2025-02-20,0.08543084292711772,0.23890271867613241,0.30497979985618495,diverged,mid
2025-02-21,0.0820294169729629,0.2263453058848506,0.29454459449981135,normal,mid
2025-02-24,0.07862890250395858,0.21435114596975227,0.2810785826104343,normal,mid
2025-02-25,0.07400119596653118,0.20190005892668694,0.2686986581307767,normal,mid
2025-02-26,0.07087593771357723,0.19011890737228196,0.2521991787187933,normal,low
2025-02-27,0.06632046547162704,0.17946916368666962,0.2304008540249311,normal,low
2025-02-28,0.06203848368487046,0.16906320538331618,0.21455617460847232,normal,low
2025-03-03,0.060077566097362124,0.15751195783735608,0.22186050286109307,converged,low
2025-03-04,0.05801526476330989,0.14230310351893274,0.222180154946132,converged,low
2025-03-05,0.05617371072385736,0.13015561833681433,0.21865382710473566,converged,low
2025-03-06,0.05147699987609279,0.11742775369634097,0.20193646055432835,converged,low
2025-03-07,0.047145591578285365,0.11069836517825453,0.18682779051608078,converged,low
2025-03-10,0.045220164882402186,0.1039466901172442,0.18002115341851715,converged,low
2025-03-11,0.042610450912386584,0.09808591855975429,0.16691850209585612,converged,low
2025-03-12,0.03859000854563204,0.090177222026178,0.14824018803628905,converged,low
2025-03-13,0.03580101730779478,0.08393935810142734,0.13447266339447608,converged,low
2025-03-14,0.03706302407319209,0.07874863512956086,0.13529230992531707,converged,low
2025-03-17,0.03574677543697192,0.07785484151921061,0.12343302637010453,converged,low
2025-03-18,0.03556428067194498,0.07859607190695894,0.11452578984752074,converged,low
2025-03-19,0.037985753923707836,0.07904091435755661,0.12482622267106926,converged,low
2025-03-20,0.04375670054577527,0.08374437052318676,0.1510717830613254,converged,low
2025-03-21,0.04646646735067543,0.08527497974067226,0.16049578740484685,converged,low
2025-03-24,0.04641005211834361,0.0925929391847045,0.158016528288505,converged,low
2025-03-25,0.046522919310809034,0.10038352949447696,0.15904934778460295,converged,low
2025-03-26,0.048549494483186684,0.1090477993129229,0.165687949442009,converged,low
2025-03-27,0.05151098470645416,0.11776272906505994,0.17554371099545668,converged,low
2025-03-28,0.05241927438570411,0.12134187052720097,0.17406978809296234,converged,low
2025-03-31,0.053428295754460904,0.12166464729964627,0.17460036883770474,converged,low
2025-04-01,0.05512277114639811,0.1243213011947967,0.18015680366077386,converged,low
2025-04-02,0.057347375886508636,0.13149583481393232,0.19116072951474827,converged,low
2025-04-03,0.05882332645503307,0.13106290706486695,0.19991483275979943,converged,low
2025-04-04,0.055538978384827145,0.12366395065915356,0.19025129598358653,converged,low
2025-04-07,0.05279547714931816,0.1112210206731064,0.18277575782311692,converged,low
2025-04-08,0.050083240874931524,0.09819981330010691,0.17321505872061338,converged,low
2025-04-09,0.04886550380222104,0.09169098018595277,0.16997781760742506,converged,low
2025-04-10,0.04729788239688231,0.08349673784505632,0.15793752026783192,converged,low
2025-04-11,0.04647316785230959,0.07975055191281101,0.14921295062776935,converged,low
2025-04-14,0.047402471440743214,0.07976811510886513,0.151909847422233,converged,low
2025-04-15,0.04814835815139736,0.07725082164904389,0.15606113036661937,converged,low
2025-04-16,0.04941785698125112,0.06909921854521582,0.15894668264697637,converged,low
2025-04-17,0.0490166767986954,0.06895007469219715,0.16100370915253506,converged,low
2025-04-21,0.052428240255345766,0.07305673389705386,0.16655722620056132,converged,low
2025-04-22,0.05781180191012195,0.08200405316894374,0.18062249308647077,normal,low
2025-04-23,0.0636192157881317,0.09032256209026758,0.1971143966860169,normal,low
2025-04-24,0.06658698106684836,0.09451461626701399,0.19783083710833974,normal,low
2025-04-25,0.06795460990924866,0.10042259617747509,0.20081346987954538,normal,low
2025-04-28,0.0676652398402361,0.10408461261745063,0.19516215884441543,normal,low
2025-04-29,0.06650467748608097,0.10778551501564702,0.194961254925954,normal,low
2025-04-30,0.06576128733961902,0.11167261200320157,0.1947414931089071,normal,low
2025-05-01,0.06325001925688666,0.1145025557710941,0.19569436292008158,normal,low
2025-05-02,0.06117436266035434,0.11791434834226787,0.2006357605171663,normal,low
2025-05-05,0.061455938884012386,0.12803018075790165,0.20845996744008433,normal,low
2025-05-06,0.06249229983786059,0.13778934428597514,0.2114789550371029,normal,low
2025-05-07,0.06385738509002258,0.14774847614905454,0.21929758547671935,normal,low
2025-05-08,0.06280515688778636,0.15345106399392094,0.21990941750814147,normal,low
2025-05-09,0.06237527964960899,0.15931644054237737,0.2197843253003045,normal,low
2025-05-12,0.06307802954527719,0.16358946172308572,0.23828668017513882,normal,low
2025-05-13,0.06280586738250356,0.16484944422909492,0.2511364753075427,normal,low
2025-05-14,0.0642563560116557,0.1663694392713143,0.2661805667810301,normal,low
